               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.023474,           0.0066926,           0.0010653,             0.98414,             0.37858,             0.42192,             0.33488,            0.027387,           0.0070676,            0.016772,           0.0090694,           0.0090694,           0.0090694
                  96,             0.02333,           0.0066793,          0.00097632,             0.98431,              0.3781,             0.42179,             0.33494,            0.027348,           0.0070725,            0.016731,           0.0090595,           0.0090595,           0.0090595
                  97,            0.022885,            0.006607,           0.0010098,             0.98251,              0.3798,             0.42222,             0.33531,            0.027297,           0.0070813,            0.016744,           0.0090496,           0.0090496,           0.0090496
                  98,            0.023343,           0.0065737,           0.0010302,             0.98442,             0.37783,             0.42187,             0.33547,            0.027242,           0.0070901,            0.016741,           0.0090397,           0.0090397,           0.0090397
                  99,            0.022575,           0.0064482,           0.0010035,             0.98491,             0.37773,             0.42174,             0.33551,            0.027229,           0.0070902,            0.016735,           0.0090298,           0.0090298,           0.0090298
                 100,            0.023375,           0.0065547,           0.0011114,             0.98083,             0.38073,             0.42175,             0.33605,            0.027198,           0.0070939,            0.016738,           0.0090199,           0.0090199,           0.0090199
                 101,             0.02285,           0.0063942,          0.00088811,             0.98528,              0.3781,             0.42139,             0.33578,            0.027166,           0.0071031,            0.016763,             0.00901,             0.00901,             0.00901
                 102,             0.02367,           0.0067672,           0.0012615,             0.98317,             0.37896,             0.42055,             0.33566,            0.027129,           0.0071106,            0.016787,           0.0090001,           0.0090001,           0.0090001
                 103,            0.023275,           0.0065802,          0.00096685,              0.9826,             0.37997,              0.4213,             0.33647,            0.027086,           0.0071156,            0.016803,           0.0089902,           0.0089902,           0.0089902
                 104,            0.023394,           0.0067219,          0.00094489,             0.98234,             0.37951,              0.4209,             0.33659,            0.027063,           0.0071144,            0.016843,           0.0089803,           0.0089803,           0.0089803
                 105,            0.023126,           0.0067189,           0.0011338,             0.98241,             0.37954,             0.42102,             0.33718,            0.027036,           0.0071149,            0.016842,           0.0089704,           0.0089704,           0.0089704
                 106,            0.022287,           0.0065646,          0.00087104,             0.98253,             0.37891,             0.42053,             0.33707,            0.027017,           0.0071081,            0.016882,           0.0089605,           0.0089605,           0.0089605
                 107,            0.022233,            0.006592,          0.00087751,             0.98272,             0.37817,             0.41999,              0.3362,            0.026984,           0.0071067,            0.016902,           0.0089506,           0.0089506,           0.0089506
                 108,            0.023032,            0.006519,           0.0011014,             0.98268,             0.37753,             0.41956,             0.33627,            0.026952,           0.0071097,            0.016898,           0.0089407,           0.0089407,           0.0089407
                 109,            0.022955,           0.0064331,          0.00089223,             0.98314,             0.37692,             0.41931,             0.33683,            0.026947,           0.0071039,             0.01688,           0.0089308,           0.0089308,           0.0089308
                 110,            0.022188,           0.0064689,           0.0009631,             0.98217,             0.37739,             0.41949,             0.33696,            0.026926,           0.0071055,            0.016869,           0.0089209,           0.0089209,           0.0089209
                 111,             0.02283,           0.0065893,          0.00081417,             0.97836,             0.38022,             0.41954,             0.33682,             0.02693,           0.0071046,            0.016823,            0.008911,            0.008911,            0.008911
                 112,            0.022437,           0.0065815,          0.00082065,             0.97881,             0.38006,             0.41959,             0.33702,            0.026918,           0.0071042,            0.016805,           0.0089011,           0.0089011,           0.0089011
                 113,            0.022422,           0.0065203,            0.001097,             0.97848,             0.38007,             0.41948,             0.33696,            0.026904,           0.0071001,            0.016818,           0.0088912,           0.0088912,           0.0088912
                 114,            0.022967,           0.0064937,           0.0010299,             0.98378,             0.37667,             0.41979,             0.33744,            0.026878,           0.0071009,            0.016799,           0.0088813,           0.0088813,           0.0088813
                 115,            0.023336,           0.0068078,           0.0011144,               0.978,             0.38066,             0.41992,             0.33778,            0.026852,           0.0071008,            0.016796,           0.0088714,           0.0088714,           0.0088714
                 116,            0.022856,           0.0066551,           0.0010817,             0.97807,              0.3808,             0.42025,             0.33838,            0.026816,            0.007098,            0.016782,           0.0088615,           0.0088615,           0.0088615
                 117,            0.023119,           0.0065652,           0.0013354,             0.97861,              0.3806,             0.42032,             0.33807,            0.026781,           0.0070965,            0.016773,           0.0088516,           0.0088516,           0.0088516
                 118,            0.022753,           0.0067176,          0.00091612,              0.9778,              0.3804,              0.4197,             0.33778,            0.026752,           0.0070899,            0.016797,           0.0088417,           0.0088417,           0.0088417
                 119,            0.022645,           0.0067233,          0.00090711,             0.97894,              0.3795,             0.41974,             0.33797,            0.026733,           0.0070831,            0.016819,           0.0088318,           0.0088318,           0.0088318
                 120,            0.022213,           0.0063369,          0.00081995,             0.98277,              0.3763,             0.41951,             0.33759,            0.026708,           0.0070811,            0.016836,           0.0088219,           0.0088219,           0.0088219
                 121,            0.022995,           0.0065706,           0.0010556,             0.98262,             0.37587,             0.41923,              0.3374,            0.026684,           0.0070795,            0.016849,            0.008812,            0.008812,            0.008812
                 122,            0.022865,           0.0065708,           0.0010234,             0.97871,              0.3784,             0.41946,             0.33775,             0.02667,           0.0070819,            0.016844,           0.0088021,           0.0088021,           0.0088021
                 123,            0.021885,            0.006258,          0.00088926,             0.98028,             0.37778,             0.41972,             0.33852,            0.026649,           0.0070858,            0.016831,           0.0087922,           0.0087922,           0.0087922
                 124,            0.022409,           0.0064766,            0.001091,             0.98297,             0.37595,             0.41971,             0.33873,            0.026628,           0.0070876,             0.01683,           0.0087823,           0.0087823,           0.0087823
                 125,            0.022304,           0.0064826,            0.001104,             0.98193,             0.37684,             0.41977,             0.33868,            0.026619,            0.007085,            0.016836,           0.0087724,           0.0087724,           0.0087724
                 126,            0.021688,           0.0063139,          0.00074918,             0.98228,             0.37796,             0.42138,             0.34042,            0.026608,           0.0070837,             0.01684,           0.0087625,           0.0087625,           0.0087625
                 127,            0.022613,           0.0068061,           0.0011756,             0.98037,             0.37983,             0.42162,             0.34037,            0.026599,           0.0070783,            0.016847,           0.0087526,           0.0087526,           0.0087526
                 128,            0.022082,           0.0065233,          0.00082565,             0.98056,             0.37989,             0.42167,              0.3407,            0.026594,           0.0070737,            0.016859,           0.0087427,           0.0087427,           0.0087427
                 129,            0.022475,           0.0063792,           0.0011803,             0.98207,             0.37902,             0.42206,             0.34114,            0.026583,           0.0070694,             0.01687,           0.0087328,           0.0087328,           0.0087328
                 130,            0.022321,            0.006435,           0.0010399,             0.97975,              0.3803,             0.42192,             0.34094,            0.026567,           0.0070654,            0.016873,           0.0087229,           0.0087229,           0.0087229
                 131,            0.021722,            0.006197,          0.00097284,             0.98092,             0.38015,             0.42198,             0.34145,            0.026561,           0.0070594,            0.016875,            0.008713,            0.008713,            0.008713
                 132,            0.021336,           0.0062064,           0.0010079,             0.98328,             0.37809,             0.42175,             0.34107,            0.026551,           0.0070537,            0.016881,           0.0087031,           0.0087031,           0.0087031
                 133,            0.021481,           0.0063137,             0.00093,             0.98299,             0.37818,             0.42106,             0.34108,            0.026548,           0.0070483,            0.016883,           0.0086932,           0.0086932,           0.0086932
